80
4 4
a4 dq f
a4 e t
b4 e t
c4 e t
e4 q f
e4 dq f
e4 e t
f4 e t
e4 e f
e4 q f
d4 dq f
d4 e t
e4 e t
f4 e t
d4 q f
f4 dq f
f4 e t
g4 e t
f4 e f
f4 q f
a4 dq f
a4 e t
b4 e t
c4 e t
e4 q f
e4 dq f
e4 e t
f4 e t
e4 e f
e4 q f
d4 dq f
d4 e t
e4 e t
f4 e t
d4 q f
f4 dq f
f4 e t
g4 e t
f4 e f
f4 q f
e4 dq f
e4 e t
g4 e t
f4 e t
f4 e t
e4 e t
d4 dq f
d4 e t
f4 e t
e4 e t
d4 e t
f4 e f
f4 dq f
f4 e t
g4 e t
f4 e f
f4 e q
e4 dq f
e4 e t
g4 e t
f4 e t
f4 e t
e4 e t
d4 dq f
d4 e t
f4 e t
e4 e t
d4 e t
f4 e f
f4 dq f
f4 e t
g4 e t
f4 e f
f4 e q
a4 dq f
a4 e f
b4 e f
c4 e f
e4 q f
e4 dq f
e4 e f
f4 e f
e4 e f
e4 q f
d4 dq f
d4 e f
e4 e f
f4 e f
d4 q f
f4 dq f
f4 e f
g4 e f
f4 e f
f4 q f
